Name,Geoloc,TypeCode,InboundCargo,InboundPax,OutboundCargo,OutboundPax
NW ATLANTIC,00A1,OCN,NNGX,NNGX,NNGX,NNGX
INDIAN OCEAN,00IO,OCN,FGDC,FGDC,FGDC,FGDC
WESTERN MED,00XT,SEA,WSVC,WSVC,WSVC,WSVC
ABBEVILLE,AAFR,CTY,MYXZ,MYXZ,MYXZ,MYXZ
ABERDEEN PROV GND,AAMP,AIN,FJXT,FJXT,FJXT,FJXT
ABIDJAN,AAPV,PRT,FTZH,FTZH,FTZH,FTZH
ABILENE,AART,CTY,FNWZ,FNWZ,FNWZ,FNWZ
ABILENE RGNL,AARV,CAP,FNWZ,FNWZ,FNWZ,FNWZ
ABSTON,ABAA,AGS,PNQS,PNQS,PNQS,PNQS
AD DAMMAM,ABFL,PRT,ATXK,ATXK,ATXK,ATXK
ADELPHI,ABTW,COM,BXUR,BXUR,BXUR,BXUR
ADELPHI,ABXK,NYI,BXUR,BXUR,BXUR,BXUR
LOS ANGELES,ACJP,AFS,FUZD,FUZD,FUZD,FUZD
AIEA,ACWE,RPA,KZTV,KZTV,KZTV,KZTV
AKRON,ADHB,CTY,DYCS,DYCS,DYCS,DYCS
AL BAHRAYN MINA S,ADKH,PRT,ATXK,ATXK,ATXK,ATXK
AL MAHDIYAH,ADLS,PRT,FUQN,FUQN,FUQN,FUQN
ALAMEDA,ADNA,CTY,TDHV,TDHV,TDHV,TDHV
ALAMEDA,ADNB,CTY,KJGW,KJGW,KJGW,KJGW
ALAMEDA,ADNC,MFC,KJGW,KJGW,KJGW,KJGW
ALAMEDA NAS,ADND,MAP,KJGW,KJGW,KJGW,KJGW
ALAMEDA,ADNE,NYI,KJGW,KJGW,KJGW,KJGW
ALAMEDA NAS,ADNF,AMO,KJGW,KJGW,KJGW,KJGW
ALAMEDA,ADNG,ADM,KJGW,KJGW,KJGW,KJGW
ALAMEDA PT MARAD,ADNK,PRT,KJGW,KJGW,KJGW,KJGW
ALAMEDA        BA,ADNR,STG,KJGW,KJGW,KJGW,KJGW
ALAMOGORDO WHITE,ADQM,CAP,KWRD,KWRD,KWRD,KWRD
ALBANY,ADUK,CTY,MYXZ,MYXZ,MYXZ,MYXZ
ALBANY        MSC,ADUP,STG,QSEU,QSEU,QSEU,QSEU
ALBANY,ADUQ,MGI,MYXZ,MYXZ,MYXZ,MYXZ
ALBANY,ADVK,CTY,YTPM,YTPM,YTPM,YTPM
ALBANY INTL,ADVM,IAP,YTPM,YTPM,YTPM,YTPM
SOUTHWEST GEORGIA,ADVN,CAP,QSEU,QSEU,QSEU,QSEU
ALBEMARLE,ADXV,CTY,TMKH,TMKH,TMKH,TMKH
ALBERT,ADYK,CTY,WWYK,WWYK,WWYK,WWYK
ALBUQUERQUE,AEBS,CTY,MHMV,MHMV,MHMV,MHMV
ALCOA,AECW,AGS,PSXE,PSXE,PSXE,PSXE
ALCONBURY,AEDY,IAP,AEDY,AEDY,AEDY,AEDY
ALEXANDER CITY,AELJ,CTY,PNQS,PNQS,PNQS,PNQS
ALEXANDRIA,AELU,PRT,CWKW,CWKW,CWKW,CWKW
ALEXANDRIA,AEPL,ADM,BXUR,BXUR,BXUR,BXUR
ALEXANDRIA,AEPQ,CTY,BXUR,BXUR,BXUR,BXUR
ALGECIRAS,AEQT,PRT,UMXB,UMXB,UMXB,UMXB
ALLENDALE,AFKB,CTY,BBJM,BBJM,BBJM,BBJM
LEHIGH VALLEY INT,AFMS,CAP,ZAWN,ZAWN,ZAWN,ZAWN
ALLENTOWN,AFMY,CTY,ZAWN,ZAWN,ZAWN,ZAWN
ALTUS AFB,AGGN,MAP,AGGN,AGGN,AGGN,AGGN
RICK HUSBAND AMAR,AGWF,CAP,CZQZ,CZQZ,CZQZ,CZQZ
AMES,AHQM,CTY,SGBP,SGBP,SGBP,SGBP
AMITYVILLE,AHTM,CTY,PTFL,PTFL,PTFL,PTFL
ANACORTES,AHWQ,PRT,PQWY,PQWY,PQWY,PQWY
ANACOSTIA,AHXM,NYI,BXUR,BXUR,BXUR,BXUR
ANCHORAGE,AJAM,CTY,FXSB,FXSB,FXSB,FXSB
TED STEVENS ANCHO,AJBQ,IAP,FXSB,FXSB,FXSB,FXSB
ANCHORAGE,AJBR,PRT,FXSB,FXSB,FXSB,FXSB
ANCONA,AJGX,PRT,ASHE,ASHE,ASHE,ASHE
ANDERSEN AFB,AJJY,MAP,AJJY,AJJY,AJJY,AJJY
ANDERSON,AJND,CTY,CTGC,CTGC,CTGC,CTGC
JOINT BASE ANDREW,AJXF,MAP,AJXF,AJXF,AJXF,AJXF
ANDREWS       ANG,AJXH,ANX,AJXF,AJXF,AJXF,AJXF
ANDREWS AFB,AJXL,ADM,AJXF,AJXF,AJXF,AJXF
ANNAPOLIS,AKUS,CTY,AJXF,AJXF,AJXF,AJXF
ANNAPOLIS,AKUU,PRT,AJXF,AJXF,AJXF,AJXF
ANNISTON,AKWB,STG,BRKR,BRKR,BRKR,BRKR
ANNISTON ARMY DEP,AKWQ,AIN,BRKR,BRKR,BRKR,BRKR
ANNISTON ARMY DEP,AKWS,AMO,BRKR,BRKR,BRKR,BRKR
ANNISTON,AKWU,CTY,BRKR,BRKR,BRKR,BRKR
ANSON,ALEX,CTY,FNWZ,FNWZ,FNWZ,FNWZ
ANTWERP,ALRF,PRT,VWLB,VWLB,VWLB,VWLB
APPLETON,AMCG,CTY,HTUX,HTUX,HTUX,HTUX
APRA HARBOR,AMCQ,PRT,AJJY,AJJY,AJJY,AJJY
ARACAY ABAJO,AMES,AFD,ULLT,ULLT,ULLT,ULLT
ARDEN HILLS,AMVP,CTY,QJKL,QJKL,QJKL,QJKL
ARDMORE,AMYJ,CTY,WWYK,WWYK,WWYK,WWYK
ANNAPOLIS,ANAD,CLN,AJXF,AJXF,AJXF,AJXF
ARNOLD,ANZY,AFS,CYWF,CYWF,CYWF,CYWF
AS SUKHAYRAH,APFD,PRT,HNTK,HNTK,HNTK,HNTK
ASH SHUWAIKH COMM,APGW,PRT,ATXK,ATXK,ATXK,ATXK
ASHLAND,APKH,CTY,BRKR,BRKR,BRKR,BRKR
ASHLAND,APNG,CTY,DYCS,DYCS,DYCS,DYCS
ASHTART,APRJ,PRT,JEAH,JEAH,JEAH,JEAH
ATHENS,AQEN,AIN,BRKR,BRKR,BRKR,BRKR
ATHENS,AQEZ,CTY,AQLM,AQLM,AQLM,AQLM
HARTSFIELD JACKSO,AQLM,CAP,AQLM,AQLM,AQLM,AQLM
ATLANTA,AQLV,CTY,FGWB,FGWB,FGWB,FGWB
ATLANTA,AQLW,NAV,AQLM,AQLM,AQLM,AQLM
ATLANTA,AQLZ,ADM,AQLM,AQLM,AQLM,AQLM
FT GILLEM,AQMV,AIN,AQLM,AQLM,AQLM,AQLM
ATLANTIC CITY MUN,AQRC,CAP,PTFL,PTFL,PTFL,PTFL
AUGUSTA,ARNS,CTY,VLSB,VLSB,VLSB,VLSB
AUGUSTA RGNL AT B,ARNW,JAP,BBJM,BBJM,BBJM,BBJM
AUGUSTA,ARPM,CTY,PRQE,PRQE,PRQE,PRQE
AUGUSTA,ARPZ,CTY,NNGX,NNGX,NNGX,NNGX
AURORA,ARTZ,CTY,TDHV,TDHV,TDHV,TDHV
AURORA,ARUZ,CTY,DPNB,DPNB,DPNB,DPNB
AUSTIN,ASAZ,CTY,BJHZ,BJHZ,BJHZ,BJHZ
AUSTIN STRAUBEL I,ASCE,CAP,HTUX,HTUX,HTUX,HTUX
AVIANO AB,ASHE,MAP,ASHE,ASHE,ASHE,ASHE
MACDILL AFB AUX F,ASPQ,MAP,SXHT,SXHT,SXHT,SXHT
BADIN,ATNV,COM,TMKH,TMKH,TMKH,TMKH
BADIN,ATNZ,CTY,TMKH,TMKH,TMKH,TMKH
FORT WAYNE INTL,ATQZ,IAP,CTGC,CTGC,CTGC,CTGC
BAHRAIN INTL,ATXK,IAP,ATXK,ATXK,ATXK,ATXK
BAILEYS CROSS RDS,ATYC,CTY,BXUR,BXUR,BXUR,BXUR
BAKERSFIELD,AUSJ,CTY,TKXA,TKXA,TKXA,TKXA
BALTIMORE,AVBT,CTY,AJXF,AJXF,AJXF,AJXF
BALTIMORE OUTPORT,AVBU,PRT,AJXF,AJXF,AJXF,AJXF
BALTIMORE HLNDS,AVDC,CTY,AJXF,AJXF,AJXF,AJXF
BANGOR,AVND,CTY,NRCH,NRCH,NRCH,NRCH
BANGOR NAVAL SUBM,AVPN,NBA,PQWY,PQWY,PQWY,PQWY
BANGOR POMFPAL,AVPR,STG,PQWY,PQWY,PQWY,PQWY
BANGOR,AVPV,NYI,PQWY,PQWY,PQWY,PQWY
BANZART,AVTB,PRT,WSVC,WSVC,WSVC,WSVC
BARBERS POINT CGA,AVXS,CGI,AVXV,AVXV,AVXV,AVXV
KAPOLEI,AVXU,CTY,AVXV,AVXV,AVXV,AVXV
KALAELOA,AVXV,JAP,AVXV,AVXV,AVXV,AVXV
BARBERS POINT NAS,AVXW,AMO,AVXV,AVXV,AVXV,AVXV
BARCELONA,AVYX,PRT,XBGX,XBGX,XBGX,XBGX
BARKSDALE AFB,AWUB,MAP,AWUB,AWUB,AWUB,AWUB
WESTFIELD BARNES,AXQD,JAP,YTPM,YTPM,YTPM,YTPM
BARSTOW       MSC,AYDE,STG,HUUA,HUUA,HUUA,HUUA
BARSTOW,AYDK,MGI,HUUA,HUUA,HUUA,HUUA
BARTH,AYER,PRT,VWLB,VWLB,VWLB,VWLB
MOBILE RGNL,AYSX,JAP,MAHG,MAHG,MAHG,MAHG
BATON ROUGE,AYYX,CTY,GAMH,GAMH,GAMH,GAMH
BATON ROUGE,AYYY,PRT,GAMH,GAMH,GAMH,GAMH
BATTLE CREEK,AYZZ,CTY,CTGC,CTGC,CTGC,CTGC
BAY CITY,AZJH,CTY,ZJXD,ZJXD,ZJXD,ZJXD
BAYONNE,AZTE,NYI,PTFL,PTFL,PTFL,PTFL
BAYONNE,AZTG,PRT,PTFL,PTFL,PTFL,PTFL
BANBAN,BACA,APT,UGZX,UGZX,UGZX,UGZX
BEALE AFB,BAEY,MAP,BAEY,BAEY,BAEY,BAEY
BEALE,BASD,ANX,BAEY,BAEY,BAEY,BAEY
BEAUFORT,BBGP,PRT,DNNL,DNNL,DNNL,DNNL
BEAUFORT MCAS,BBJM,MAP,BBJM,BBJM,BBJM,BBJM
BEAUFORT NAVY,BBJS,HSP,BBJM,BBJM,BBJM,BBJM
BEAUMONT T2,BBNQ,PRT,GAMH,GAMH,GAMH,GAMH
BEAUMONT,BBNR,CTY,GAMH,GAMH,GAMH,GAMH
BEAUMONT,BBNV,PRT,GAMH,GAMH,GAMH,GAMH
BEAVER FALLS,BCDZ,CTY,DYCS,DYCS,DYCS,DYCS
BECKLEY,BCMV,CTY,PSXE,PSXE,PSXE,PSXE
BELEN,BDQZ,CTY,MHMV,MHMV,MHMV,MHMV
BELLE CHASSE,BEGS,CTY,MAHG,MAHG,MAHG,MAHG
BELLEAIR BLUFFS,BELL,CTY,NVZR,NVZR,NVZR,NVZR
BELLINGHAM INTL,BFHX,IAP,PQWY,PQWY,PQWY,PQWY
BELLOWS AFS,BFMV,AFS,LYAX,LYAX,LYAX,LYAX
BELOIT,BFTZ,CTY,HTUX,HTUX,HTUX,HTUX
AUSTIN BERGSTROM,BJHZ,JAP,BJHZ,BJHZ,BJHZ,BJHZ
NASHVILLE INTL,BKTZ,JAP,CYWF,CYWF,CYWF,CYWF
BESSEMER,BLMR,CTY,BRKR,BRKR,BRKR,BRKR
WRNM MEDICAL CTR,BMGM,HSP,BXUR,BXUR,BXUR,BXUR
BIG STONE GAP,BPRE,CTY,PSXE,PSXE,PSXE,PSXE
BIGGS AAF,BPWZ,MAP,BPWZ,BPWZ,BPWZ,BPWZ
BILLINGS,BQKY,CTY,NZAS,NZAS,NZAS,NZAS
BINGHAMTON,BQUG,CTY,JREZ,JREZ,JREZ,JREZ
MUHAMMAD QASIM,BQWA,PRT,VGHV,VGHV,VGHV,VGHV
BIR EL ATER,BQWK,APT,HNTK,HNTK,HNTK,HNTK
BREMERTON,BRAE,HSP,PQWY,PQWY,PQWY,PQWY
BIRMINGHAM,BRKM,CTY,BRKR,BRKR,BRKR,BRKR
BIRMINGHAM SHUTTL,BRKR,JAP,BRKR,BRKR,BRKR,BRKR
BISMARCK,BSEH,CTY,QJVF,QJVF,QJVF,QJVF
BISMARCK MUNI,BSEM,JAP,QJVF,QJVF,QJVF,QJVF
BIZERTE,BSRK,CTY,FUQN,FUQN,FUQN,FUQN
BIZERTE,BSRL,PRT,WSVC,WSVC,WSVC,WSVC
SIDI AHMED AIR BA,BSRR,IAP,WSVC,WSVC,WSVC,WSVC
BLACKSTONE,BTHP,CTY,MUHJ,MUHJ,MUHJ,MUHJ
BLOOMINGTON,BUWC,CTY,DPNB,DPNB,DPNB,DPNB
BLUE ASH,BVGM,AGS,ZHTV,ZHTV,ZHTV,ZHTV
BLUE GRASS DEPOT,BVJS,AMO,WEAS,WEAS,WEAS,WEAS
BLUE GRASS,BWBU,CAP,WEAS,WEAS,WEAS,WEAS
ARKANSAS INTL,BWKR,MAP,BWKR,BWKR,BWKR,BWKR
BLYTHEVILLE,BWKV,CTY,BWKR,BWKR,BWKR,BWKR
BOISE AIR TERMINA,BXRH,JAP,QYZH,QYZH,QYZH,QYZH
BOISE,BXRM,CTY,QYZH,QYZH,QYZH,QYZH
BOLLING AFB HELI,BXUR,MHP,BXUR,BXUR,BXUR,BXUR
RABAH BITAT,BYKA,CAP,WSVC,WSVC,WSVC,WSVC
BONE,BYKC,PRT,WSVC,WSVC,WSVC,WSVC
BONE AND SCHEMES,BYKF,CTY,WSVC,WSVC,WSVC,WSVC
CAMP PENDLETON MC,CAAP,MAP,ETZB,ETZB,ETZB,ETZB
CAPE CANAVERAL AF,CAAY,AFB,SXHT,SXHT,SXHT,SXHT
CP LEJUENE,CABM,HSP,DNNL,DNNL,DNNL,DNNL
BOSTON,CAMD,CTY,NNGX,NNGX,NNGX,NNGX
BOSTON,CAMK,NYI,NNGX,NNGX,NNGX,NNGX
BOTHELL,CBEF,CTY,PQWY,PQWY,PQWY,PQWY
BOWLING GREEN,CCTS,CTY,CYWF,CYWF,CYWF,CYWF
BRADLEY INTL,CEKT,JAP,YTPM,YTPM,YTPM,YTPM
BRANDON,CFGM,CTY,MAHG,MAHG,MAHG,MAHG
CHERRY POINT,CHBA,HSP,DNNL,DNNL,DNNL,DNNL
CHARLESTON,CHBM,ADM,DKFX,DKFX,DKFX,DKFX
BREMERHAVEN,CHCY,PRT,VWLB,VWLB,VWLB,VWLB
BREMERTON,CHEV,NYI,PQWY,PQWY,PQWY,PQWY
BREMERTON SEALAND,CHEX,PRT,PQWY,PQWY,PQWY,PQWY
BRENHAM,CHJY,CTY,BJHZ,BJHZ,BJHZ,BJHZ
BREVARD,CHSY,CTY,PSXE,PSXE,PSXE,PSXE
BRIDGETON,CJJY,CTY,MSQB,MSQB,MSQB,MSQB
BRISTOL,CKMQ,PRT,PTFL,PTFL,PTFL,PTFL
CLEAR CREEK,CLAG,APT,FXSB,FXSB,FXSB,FXSB
BROCKTON,CLCH,CTY,NNGX,NNGX,NNGX,NNGX
BROKEN ARROW,CLLH,CTY,WWYK,WWYK,WWYK,WWYK
BRONX,CLXR,CTY,PTFL,PTFL,PTFL,PTFL
BROOKINGS,CMHF,CTY,QJKL,QJKL,QJKL,QJKL
BROOKLYN,CMMC,CTY,PTFL,PTFL,PTFL,PTFL
BROOKLYN,CMXJ,NYI,PTFL,PTFL,PTFL,PTFL
BROOKPARK,CMZJ,CTY,DYCS,DYCS,DYCS,DYCS
BROOKS CITY BASE,CNBC,AFS,MBPB,MBPB,MBPB,MBPB
BROUSSARD,CNRA,CTY,GAMH,GAMH,GAMH,GAMH
CORPUS CHRISTI,CPBE,HSP,MBPB,MBPB,MBPB,MBPB
BROWNSVILLE,CPJF,CTY,PJVY,PJVY,PJVY,PJVY
BROWNSVILLE,CPNF,CTY,MBPB,MBPB,MBPB,MBPB
BRUNSWICK,CQJP,CTY,LEXG,LEXG,LEXG,LEXG
BRUNSWICK EXECUTI,CQLW,CAP,NNGX,NNGX,NNGX,NNGX
BUCKLEY AFB,CRWU,MAP,TDHV,TDHV,TDHV,TDHV
BUECHEL,CSEM,CTY,WEAS,WEAS,WEAS,WEAS
BUFFALO,CSHW,ADM,JREZ,JREZ,JREZ,JREZ
BUFFALO,CSJF,CTY,QJKL,QJKL,QJKL,QJKL
BUFFALO,CSKQ,CTY,JREZ,JREZ,JREZ,JREZ
USAF ACADEMY BULL,CTCN,APT,TDHV,TDHV,TDHV,TDHV
GRISSOM AFRES,CTGB,RTC,CTGC,CTGC,CTGC,CTGC
GRISSOM ARB,CTGC,MAP,CTGC,CTGC,CTGC,CTGC
BURLINGTON INTL,CURZ,IAP,THWA,THWA,THWA,THWA
BUTLER,CVLD,CTY,DYCS,DYCS,DYCS,DYCS
BUTNER,CVLK,CTY,TMKH,TMKH,TMKH,TMKH
BUTTS AAF,CVPF,MAP,TDHV,TDHV,TDHV,TDHV
RICHMOND INTL,CVVM,JAP,MUHJ,MUHJ,MUHJ,MUHJ
CADILLAC,CWBG,CTY,ZJXD,ZJXD,ZJXD,ZJXD
CADIZ,CWCE,CTY,DYCS,DYCS,DYCS,DYCS
CADIZ,CWCP,PRT,UMXB,UMXB,UMXB,UMXB
CAGAYAN DE ORO,CWGV,PRT,EYBD,EYBD,EYBD,EYBD
CP LEJEUNE,CWKR,STG,DNNL,DNNL,DNNL,DNNL
CAIRO WEST,CWKW,AFD,CWKW,CWKW,CWKW,CWKW
CALDWELL,CWWK,CTY,QYZH,QYZH,QYZH,QYZH
CAMDEN,CYCQ,CTY,AWUB,AWUB,AWUB,AWUB
CAMDEN,CYEQ,CTY,ZAWN,ZAWN,ZAWN,ZAWN
CAMDEN,CYJU,CTY,VLSB,VLSB,VLSB,VLSB
CP J T ROBINSON,CYPV,AIN,NKAK,NKAK,NKAK,NKAK
CAMP H M SMITH,CYTW,ADM,KZTV,KZTV,KZTV,KZTV
CAMPBELL AAF,CYWF,MAP,CYWF,CYWF,CYWF,CYWF
CANDO,CZJF,CTY,JFSD,JFSD,JFSD,JFSD
CANNON AFB,CZQZ,MAP,CZQZ,CZQZ,CZQZ,CZQZ
CAPE GIRARDEAU,DBMT,CTY,VDYD,VDYD,VDYD,VDYD
CAPE MAY,DBRT,CTY,FJXT,FJXT,FJXT,FJXT
ABRAHAM LINCOLN C,DCFT,JAP,MSQB,MSQB,MSQB,MSQB
FORT WORTH NAS JR,DDPF,MAP,DDPF,DDPF,DDPF,DDPF
CARSWELL,DDPK,AMO,DDPF,DDPF,DDPF,DDPF
CARSWELL,DDQW,NAV,DDPF,DDPF,DDPF,DDPF
CARTHAGE,DEFW,CTY,YWHG,YWHG,YWHG,YWHG
CASPER,DERM,CTY,GHLN,GHLN,GHLN,GHLN
CASTLE,DESR,APT,DESR,DESR,DESR,DESR
CECIL,DGAB,MAP,LSGE,LSGE,LSGE,LSGE
CEDAR RAPIDS,DGGB,CTY,YAQF,YAQF,YAQF,YAQF
CEDAR RAPIDS,DGGD,NYI,YAQF,YAQF,YAQF,YAQF
CENTERVILLE,DGXC,AIN,BRKR,BRKR,BRKR,BRKR
CHAMBERSBURG,DHQB,CTY,PJVY,PJVY,PJVY,PJVY
CHAMBLEE,DHRF,CTY,AQLM,AQLM,AQLM,AQLM
CHANNEL ISLANDS A,DJCF,AGS,TKXA,TKXA,TKXA,TKXA
CHARLESTON,DKAD,CTY,NKAK,NKAK,NKAK,NKAK
JB CHARLESTON,DKFX,JAP,DKFX,DKFX,DKFX,DKFX
CHARLESTON NAVY,DKFY,AMO,DKFX,DKFX,DKFX,DKFX
NORTH CHARLESTON,DKGJ,RTC,DKFX,DKFX,DKFX,DKFX
CHARLESTON,DKGK,CTY,DKFX,DKFX,DKFX,DKFX
CHARLESTON,DKGL,NYI,DKFX,DKFX,DKFX,DKFX
CHARLESTON    NWS,DKGT,AMO,DKFX,DKFX,DKFX,DKFX
CHARLESTON,DKSD,PRT,DKFX,DKFX,DKFX,DKFX
CHARLESTON NAVY,DKTB,HSP,DKFX,DKFX,DKFX,DKFX
CHARLESTON,DKTT,NAV,ZHTV,ZHTV,ZHTV,ZHTV
CHARLESTON,DKTX,CTY,ZHTV,ZHTV,ZHTV,ZHTV
CHARLESTON NAV YD,DKVL,NYI,DKFX,DKFX,DKFX,DKFX
CHARLOTTE,DLAL,CTY,VLSB,VLSB,VLSB,VLSB
CHATTANOOGA,DLUL,CTY,CYWF,CYWF,CYWF,CYWF
CHEATHAM ANX  NSC,DLZC,STG,MUHJ,MUHJ,MUHJ,MUHJ
CHEROKEE,DNJC,CTY,SGBP,SGBP,SGBP,SGBP
CHERRY POINT,DNNH,AFS,DNNL,DNNL,DNNL,DNNL
CHERRY POINT MCAS,DNNL,MAP,DNNL,DNNL,DNNL,DNNL
MCAS CHERRY POINT,DNNM,STG,DNNL,DNNL,DNNL,DNNL
CHESTER,DNRV,CTY,ZAWN,ZAWN,ZAWN,ZAWN
CHEYENNE,DPEV,CTY,GHLN,GHLN,GHLN,GHLN
CHEYENNE RGNL JER,DPEZ,JAP,GHLN,GHLN,GHLN,GHLN
CHEYENNE MT CMPLX,DPFM,CTY,TDHV,TDHV,TDHV,TDHV
CHICAGO,DPLX,CTY,DPNB,DPNB,DPNB,DPNB
CHICAGO,DPMA,STG,DPNB,DPNB,DPNB,DPNB
CHICAGO,DPMD,PRT,DPNB,DPNB,DPNB,DPNB
CHICAGO OHARE INT,DPMZ,JAP,DPNB,DPNB,DPNB,DPNB
OHARE,DPNB,RTC,DPNB,DPNB,DPNB,DPNB
CHICAGO RIDGE,DPNV,CTY,DPNB,DPNB,DPNB,DPNB
CHICOPEE,DPYZ,CTY,YTPM,YTPM,YTPM,YTPM
CHINHAE,DRUG,PRT,MEPJ,MEPJ,MEPJ,MEPJ
CHIPPEWA FALLS,DRYL,CTY,HTUX,HTUX,HTUX,HTUX
CINCINNATI NORTHE,DTVB,CAP,ZHTV,ZHTV,ZHTV,ZHTV
CINCINNATI,DTVP,CTY,ZHTV,ZHTV,ZHTV,ZHTV
CINCINNATI,DTWB,DFP,ZHTV,ZHTV,ZHTV,ZHTV
CLACKAMAS,DUHW,CTY,PQWY,PQWY,PQWY,PQWY
CLARION,DVGK,CTY,DYCS,DYCS,DYCS,DYCS
DIOSDADO MACAPAGA,DVLK,APT,DVLK,DVLK,DVLK,DVLK
CLARKSBURG,DVYP,CTY,PJVY,PJVY,PJVY,PJVY
CLEAR FORK,DXFX,CTY,PSXE,PSXE,PSXE,PSXE
CLEVELAND HOPKINS,DYCS,CAP,DYCS,DYCS,DYCS,DYCS
CLEVELAND NAVY,DYCZ,ADM,DYCS,DYCS,DYCS,DYCS
CLEVELAND,DYDV,CTY,PSXE,PSXE,PSXE,PSXE
CLINTON,DYVS,CTY,NNGX,NNGX,NNGX,NNGX
CLINTON,DYWP,CTY,GAMH,GAMH,GAMH,GAMH
CLINTON,DYXQ,CTY,VKAG,VKAG,VKAG,VKAG
CLOVIS,EAPD,CTY,CZQZ,CZQZ,CZQZ,CZQZ
CLYDE,EAQQ,CTY,PSXE,PSXE,PSXE,PSXE
MIDDLE GEORGIA RG,EAZP,CAP,UHHZ,UHHZ,UHHZ,UHHZ
COLOMBO,EDME,PRT,FGDC,FGDC,FGDC,FGDC
COLORADO SPRINGS,EDUG,STG,TDHV,TDHV,TDHV,TDHV
COLORADO SPRINGS,EDUJ,CTY,TDHV,TDHV,TDHV,TDHV
COLTS NECK,EDVT,CTY,PTFL,PTFL,PTFL,PTFL
COLUMBIA,EDWC,APT,DESR,DESR,DESR,DESR
COLUMBIA,EDYN,CTY,YWHG,YWHG,YWHG,YWHG
COLUMBIA,EEBS,CTY,VLSB,VLSB,VLSB,VLSB
COLUMBUS,EEHR,CTY,MYXZ,MYXZ,MYXZ,MYXZ
COLUMBUS,EEMW,CAP,MYXZ,MYXZ,MYXZ,MYXZ
COLUMBUS AFB,EEPZ,MAP,BRKR,BRKR,BRKR,BRKR
COLUMBUS,EFGH,ADM,ZHTV,ZHTV,ZHTV,ZHTV
COLUMBUS,EFGV,CTY,ZHTV,ZHTV,ZHTV,ZHTV
COLUMBUS ARMY DEP,EFGX,STG,ZHTV,ZHTV,ZHTV,ZHTV
COLUMBUS,EFHH,ADM,ZHTV,ZHTV,ZHTV,ZHTV
COMPTON,EGDZ,CTY,FUZD,FUZD,FUZD,FUZD
CONCORD,EGNA,AMO,XDAT,XDAT,XDAT,XDAT
CONCORD,EGND,CTY,XDAT,XDAT,XDAT,XDAT
CONCORD       NWS,EGNF,AMO,XDAT,XDAT,XDAT,XDAT
CONCORD,EGNN,PRT,KJGW,KJGW,KJGW,KJGW
CONNELLSVILLE,EHNP,CTY,PJVY,PJVY,PJVY,PJVY
CONWAY,EJSP,CTY,NKAK,NKAK,NKAK,NKAK
COOS BAY,EKWU,PRT,PQWY,PQWY,PQWY,PQWY
COOS HEAD,EKWW,CTY,BAEY,BAEY,BAEY,BAEY
CORONADO,EMVX,NYI,RZQH,RZQH,RZQH,RZQH
CORONADO SD   NPB,EMVY,NYI,RZQH,RZQH,RZQH,RZQH
CORPUS CHRISTI,ENCB,STG,MBPB,MBPB,MBPB,MBPB
CORPUS CHRISTI,ENCF,CTY,MBPB,MBPB,MBPB,MBPB
CORPUS CHRISTI,ENCJ,DEP,MBPB,MBPB,MBPB,MBPB
CORPUS CHRISTI NA,ENCK,MAP,MBPB,MBPB,MBPB,MBPB
CORPUS CHRISTI NA,ENCN,PRT,MBPB,MBPB,MBPB,MBPB
ENID,ENID,RTC,WWYK,WWYK,WWYK,WWYK
COUNCIL BLUFFS,EPKA,CTY,SGBP,SGBP,SGBP,SGBP
COVENTRY,EQDF,AGS,NNGX,NNGX,NNGX,NNGX
FT A P HILL,EQYH,AIN,BXUR,BXUR,BXUR,BXUR
