block_id,ordering,carry_config,transport_means,distance_permission_type,distance,start_time,end_time
66,2,ALL,M1088 WOWN MTV Tractor/M871A2 22.5-Ton Semitrailer,ANY_DISTANCE,,,
66,3,ALL,M1088 WWN MTV Tractor/M871A2 22.5-Ton Semitrailer,ANY_DISTANCE,,,
66,4,ALL,M818 5-Ton Tractor/M128 12-Ton Semitrailer,ANY_DISTANCE,,,
66,5,ALL,M818 5-Ton Tractor/M871A2 22.5-Ton Semitrailer,ANY_DISTANCE,,,
66,6,ALL,M915A2 25-Ton Tractor/M872A3 34-Ton Semitrailer,ANY_DISTANCE,,,
66,7,ALL,M915A2 25-Ton Tractor/M871A2 22.5-Ton Semitrailer,ANY_DISTANCE,,,
66,8,ALL,Commercial 10-Ton Tractor/Commercial Semitrailer,ANY_DISTANCE,,,
67,0,ALL,50FLAT,ANY_DISTANCE,,,
67,1,ALL,68FLAT,ANY_DISTANCE,,,
67,2,ALL,75FLAT,ANY_DISTANCE,,,
67,3,ALL,89FLAT,ANY_DISTANCE,,,
67,4,ALL,commercial heavy railcar,ANY_DISTANCE,,,
67,5,ALL,commercial medium railcar,ANY_DISTANCE,,,
68,0,ALL,Water (ANY ASSET),ANY_DISTANCE,,,
69,0,ALL,Air (ANY ASSET),ANY_DISTANCE,,,
70,0,ALL,M1074 PLS,ANY_DISTANCE,,,
70,1,ALL,M1075 PLS,ANY_DISTANCE,,,
70,2,ALL,M1083 WOWN 5-Ton MTV,ANY_DISTANCE,,,
70,3,ALL,M1083 WWN 5-TON MTV,ANY_DISTANCE,,,
70,4,ALL,M1088 WOWN MTV Tractor/M871A2 22.5-Ton Semitrailer,ANY_DISTANCE,,,
70,5,ALL,M1088 WWN MTV Tractor/M871A2 22.5-Ton Semitrailer,ANY_DISTANCE,,,
70,6,ALL,M818 5-Ton Tractor/M128 12-Ton Semitrailer,ANY_DISTANCE,,,
70,7,ALL,M818 5-Ton Tractor/M871A2 22.5-Ton Semitrailer,ANY_DISTANCE,,,
70,8,ALL,M915A2 25-Ton Tractor/M872A3 34-Ton Semitrailer,ANY_DISTANCE,,,
70,9,ALL,M915A2 25-Ton Tractor/M871A2 22.5-Ton Semitrailer,ANY_DISTANCE,,,
70,10,ALL,Commercial 10-Ton Tractor/Commercial Semitrailer,ANY_DISTANCE,,,
71,0,ALL,50FLAT,ANY_DISTANCE,,,
71,1,ALL,68FLAT,ANY_DISTANCE,,,
71,2,ALL,75FLAT,ANY_DISTANCE,,,
71,3,ALL,89FLAT,ANY_DISTANCE,,,
71,4,ALL,commercial medium railcar,ANY_DISTANCE,,,
72,0,ALL,Water (ANY ASSET),ANY_DISTANCE,,,
73,0,ALL,Air (ANY ASSET),ANY_DISTANCE,,,
74,0,ALL,M1070 HET Tractor/M1000 70-Ton HET Trailer,ANY_DISTANCE,,,
75,0,ALL,commercial heavy railcar,ANY_DISTANCE,,,
75,1,ALL,68FLAT,ANY_DISTANCE,,,
75,2,ALL,75FLAT,ANY_DISTANCE,,,
75,3,ALL,commercial medium railcar,ANY_DISTANCE,,,
76,0,ALL,Water (ANY ASSET),ANY_DISTANCE,,,
77,0,ALL,Air (ANY ASSET),ANY_DISTANCE,,,
78,0,ALL,Commercial Bus 45-pax,ANY_DISTANCE,,,
79,0,ALL,passenger railcar,ANY_DISTANCE,,,
80,0,ALL,Water (ANY ASSET),ANY_DISTANCE,,,
81,0,ALL,Air (ANY ASSET),ANY_DISTANCE,,,
82,0,ALL,Road (SELF),MAXIMUM_DISTANCE,4000.0,,
82,1,ALL,M1070 HET Tractor/M1000 70-Ton HET Trailer,ANY_DISTANCE,,,
82,2,ALL,M911 HET Tractor/M1000 70-Ton HET Trailer,ANY_DISTANCE,,,
82,3,ALL,M911 HET Tractor/M747 60-Ton HET Trailer,ANY_DISTANCE,,,
83,0,ALL,89FLAT,ANY_DISTANCE,,,
83,1,ALL,commercial medium railcar,ANY_DISTANCE,,,
83,2,ALL,commercial heavy railcar,ANY_DISTANCE,,,
84,0,ALL,Water (ANY ASSET),ANY_DISTANCE,,,
85,0,ALL,Air (ANY ASSET),ANY_DISTANCE,,,
86,0,ALL,Road (SELF),MAXIMUM_DISTANCE,400.0,,
87,0,ALL,68FLAT,ANY_DISTANCE,,,
87,1,ALL,75FLAT,ANY_DISTANCE,,,
87,2,ALL,commercial heavy railcar,ANY_DISTANCE,,,
87,3,ALL,commercial medium railcar,ANY_DISTANCE,,,
88,0,ALL,M1070 HET Tractor/M1000 70-Ton HET Trailer,ANY_DISTANCE,,,
88,1,ALL,M911 HET Tractor/M1000 70-Ton HET Trailer,ANY_DISTANCE,,,
88,2,ALL,M911 HET Tractor/M747 60-Ton HET Trailer,ANY_DISTANCE,,,
89,0,ALL,Water (ANY ASSET),ANY_DISTANCE,,,
90,0,ALL,Air (ANY ASSET),ANY_DISTANCE,,,
91,0,ALL,Road (SELF),MAXIMUM_DISTANCE,750.0,,
92,0,ALL,50FLAT,ANY_DISTANCE,,,
92,1,ALL,68FLAT,ANY_DISTANCE,,,
92,2,ALL,75FLAT,ANY_DISTANCE,,,
92,3,ALL,89FLAT,ANY_DISTANCE,,,
92,4,ALL,commercial medium railcar,ANY_DISTANCE,,,
92,5,ALL,commercial multi level,ANY_DISTANCE,,,
93,0,ALL,M1088 WOWN MTV Tractor/M871A2 22.5-Ton Semitrailer,ANY_DISTANCE,,,
93,1,ALL,M1088 WWN MTV Tractor/M871A2 22.5-Ton Semitrailer,ANY_DISTANCE,,,
93,2,ALL,M123 10-Ton Tractor/M172 25-Ton Lowbed,ANY_DISTANCE,,,
93,3,ALL,M123 10-Ton Tractor/M870 40-Ton Lowbed,ANY_DISTANCE,,,
93,4,ALL,M818 5-Ton Tractor/M172 25-Ton Lowbed,ANY_DISTANCE,,,
93,5,ALL,M818 5-Ton Tractor/M871A2 22.5-Ton Semitrailer,ANY_DISTANCE,,,
93,6,ALL,M1070 HET Tractor/M1000 70-Ton HET Trailer,ANY_DISTANCE,,,
93,7,ALL,M911 HET Tractor/M1000 70-Ton HET Trailer,ANY_DISTANCE,,,
93,8,ALL,M911 HET Tractor/M747 60-Ton HET Trailer,ANY_DISTANCE,,,
94,0,ALL,Water (ANY ASSET),ANY_DISTANCE,,,
95,0,ALL,Air (ANY ASSET),ANY_DISTANCE,,,
96,0,ALL,Road (SELF),MAXIMUM_DISTANCE,10.0,,
97,0,ALL,commercial heavy railcar,ANY_DISTANCE,,,
98,0,ALL,Commercial HET Tractor/Commercial HET Trailer,ANY_DISTANCE,,,
98,1,ALL,M1070 HET Tractor/M1000 70-Ton HET Trailer,ANY_DISTANCE,,,
98,2,ALL,M911 HET Tractor/M1000 70-Ton HET Trailer,ANY_DISTANCE,,,
98,3,ALL,M911 HET Tractor/M747 60-Ton HET Trailer,ANY_DISTANCE,,,
99,0,ALL,Water (ANY ASSET),ANY_DISTANCE,,,
100,0,ALL,Air (ANY ASSET),ANY_DISTANCE,,,
101,0,ALL,Road (SELF),MAXIMUM_DISTANCE,10.0,,
102,0,ALL,75FLAT,ANY_DISTANCE,,,
102,1,ALL,89FLAT,ANY_DISTANCE,,,
102,2,ALL,commercial medium railcar,ANY_DISTANCE,,,
102,3,ALL,commercial heavy railcar,ANY_DISTANCE,,,
103,0,ALL,Commercial HET Tractor/Commercial HET Trailer,ANY_DISTANCE,,,
103,1,ALL,M1070 HET Tractor/M1000 70-Ton HET Trailer,ANY_DISTANCE,,,
103,2,ALL,M911 HET Tractor/M1000 70-Ton HET Trailer,ANY_DISTANCE,,,
103,3,ALL,M911 HET Tractor/M747 60-Ton HET Trailer,ANY_DISTANCE,,,
104,0,ALL,Water (ANY ASSET),ANY_DISTANCE,,,
105,0,ALL,Air (ANY ASSET),ANY_DISTANCE,,,
106,0,ALL,Road (SELF),MAXIMUM_DISTANCE,10.0,,
107,0,ALL,68FLAT,ANY_DISTANCE,,,
107,1,ALL,75FLAT,ANY_DISTANCE,,,
107,2,ALL,89FLAT,ANY_DISTANCE,,,
107,3,ALL,commercial medium railcar,ANY_DISTANCE,,,
107,4,ALL,commercial heavy railcar,ANY_DISTANCE,,,
108,0,ALL,M1088 WOWN MTV Tractor/M871A2 22.5-Ton Semitrailer,ANY_DISTANCE,,,
108,1,ALL,M1088 WWN MTV Tractor/M871A2 22.5-Ton Semitrailer,ANY_DISTANCE,,,
108,2,ALL,M123 10-Ton Tractor/M172 25-Ton Lowbed,ANY_DISTANCE,,,
108,3,ALL,M123 10-Ton Tractor/M870 40-Ton Lowbed,ANY_DISTANCE,,,
108,4,ALL,M818 5-Ton Tractor/M172 25-Ton Lowbed,ANY_DISTANCE,,,
108,5,ALL,M818 5-Ton Tractor/M871A2 22.5-Ton Semitrailer,ANY_DISTANCE,,,
108,6,ALL,M1070 HET Tractor/M1000 70-Ton HET Trailer,ANY_DISTANCE,,,
108,7,ALL,M911 HET Tractor/M1000 70-Ton HET Trailer,ANY_DISTANCE,,,
108,8,ALL,M911 HET Tractor/M747 60-Ton HET Trailer,ANY_DISTANCE,,,
109,0,ALL,Water (ANY ASSET),ANY_DISTANCE,,,
110,0,ALL,Air (ANY ASSET),ANY_DISTANCE,,,
111,0,ALL,50BOX,ANY_DISTANCE,,,
111,1,ALL,60BOX,ANY_DISTANCE,,,
111,2,ALL,commercial boxcar,ANY_DISTANCE,,,
112,0,ALL,M1074 PLS,ANY_DISTANCE,,,
112,1,ALL,M1075 PLS,ANY_DISTANCE,,,
112,2,ALL,M1088 WOWN MTV Tractor/M871A2 22.5-Ton Semitrailer,ANY_DISTANCE,,,
112,3,ALL,M1088 WWN MTV Tractor/M871A2 22.5-Ton Semitrailer,ANY_DISTANCE,,,
112,4,ALL,M818 5-Ton Tractor/M128 12-Ton Semitrailer,ANY_DISTANCE,,,
112,5,ALL,M818 5-Ton Tractor/M871A2 22.5-Ton Semitrailer,ANY_DISTANCE,,,
112,6,ALL,M915A2 25-Ton Tractor/M872A3 34-Ton Semitrailer,ANY_DISTANCE,,,
112,7,ALL,M915A2 25-Ton Tractor/M871A2 22.5-Ton Semitrailer,ANY_DISTANCE,,,
112,8,ALL,Commercial 10-Ton Tractor/Commercial Semitrailer,ANY_DISTANCE,,,
113,0,ALL,Water (ANY ASSET),ANY_DISTANCE,,,
114,0,ALL,Air (ANY ASSET),ANY_DISTANCE,,,
115,0,ALL,M1074 PLS,ANY_DISTANCE,,,
115,1,ALL,M1075 PLS,ANY_DISTANCE,,,
115,2,ALL,M1083 WOWN 5-Ton MTV,ANY_DISTANCE,,,
115,3,ALL,M1083 WWN 5-TON MTV,ANY_DISTANCE,,,
115,4,ALL,M1088 WOWN MTV Tractor/M871A2 22.5-Ton Semitrailer,ANY_DISTANCE,,,
115,5,ALL,M1088 WWN MTV Tractor/M871A2 22.5-Ton Semitrailer,ANY_DISTANCE,,,
115,6,ALL,M818 5-Ton Tractor/M128 12-Ton Semitrailer,ANY_DISTANCE,,,
115,7,ALL,M818 5-Ton Tractor/M871A2 22.5-Ton Semitrailer,ANY_DISTANCE,,,
115,8,ALL,M915A2 25-Ton Tractor/M872A3 34-Ton Semitrailer,ANY_DISTANCE,,,
115,9,ALL,M915A2 25-Ton Tractor/M871A2 22.5-Ton Semitrailer,ANY_DISTANCE,,,
115,10,ALL,Commercial 10-Ton Tractor/Commercial Semitrailer,ANY_DISTANCE,,,
116,0,ALL,50FLAT,ANY_DISTANCE,,,
116,1,ALL,68FLAT,ANY_DISTANCE,,,
116,2,ALL,75FLAT,ANY_DISTANCE,,,
116,3,ALL,89FLAT,ANY_DISTANCE,,,
116,4,ALL,commercial medium railcar,ANY_DISTANCE,,,
117,0,ALL,Water (ANY ASSET),ANY_DISTANCE,,,
118,0,ALL,Air (ANY ASSET),ANY_DISTANCE,,,
119,0,ALL,M1074 PLS,ANY_DISTANCE,,,
119,1,ALL,M1075 PLS,ANY_DISTANCE,,,
119,2,ALL,M1088 WOWN MTV Tractor/M871A2 22.5-Ton Semitrailer,ANY_DISTANCE,,,
119,3,ALL,M1088 WWN MTV Tractor/M871A2 22.5-Ton Semitrailer,ANY_DISTANCE,,,
119,4,ALL,M818 5-Ton Tractor/M128 12-Ton Semitrailer,ANY_DISTANCE,,,
119,5,ALL,M818 5-Ton Tractor/M871A2 22.5-Ton Semitrailer,ANY_DISTANCE,,,
119,6,ALL,M915A2 25-Ton Tractor/M872A3 34-Ton Semitrailer,ANY_DISTANCE,,,
119,7,ALL,M915A2 25-Ton Tractor/M871A2 22.5-Ton Semitrailer,ANY_DISTANCE,,,
119,8,ALL,Commercial 10-Ton Tractor/Commercial Semitrailer,ANY_DISTANCE,,,
120,0,ALL,50FLAT,ANY_DISTANCE,,,
120,1,ALL,68FLAT,ANY_DISTANCE,,,
120,2,ALL,75FLAT,ANY_DISTANCE,,,
120,3,ALL,89FLAT,ANY_DISTANCE,,,
120,4,ALL,commercial heavy railcar,ANY_DISTANCE,,,
120,5,ALL,commercial medium railcar,ANY_DISTANCE,,,
121,0,ALL,Water (ANY ASSET),ANY_DISTANCE,,,
122,0,ALL,Air (ANY ASSET),ANY_DISTANCE,,,
123,0,ALL,M1074 PLS,ANY_DISTANCE,,,
123,1,ALL,M1075 PLS,ANY_DISTANCE,,,
123,2,ALL,M1088 WOWN MTV Tractor/M871A2 22.5-Ton Semitrailer,ANY_DISTANCE,,,
123,3,ALL,M1088 WWN MTV Tractor/M871A2 22.5-Ton Semitrailer,ANY_DISTANCE,,,
123,4,ALL,M818 5-Ton Tractor/M128 12-Ton Semitrailer,ANY_DISTANCE,,,
123,5,ALL,M818 5-Ton Tractor/M871A2 22.5-Ton Semitrailer,ANY_DISTANCE,,,
123,6,ALL,M915A2 25-Ton Tractor/M872A3 34-Ton Semitrailer,ANY_DISTANCE,,,
123,7,ALL,M915A2 25-Ton Tractor/M871A2 22.5-Ton Semitrailer,ANY_DISTANCE,,,
123,8,ALL,Commercial 10-Ton Tractor/Commercial Semitrailer,ANY_DISTANCE,,,
124,0,ALL,50FLAT,ANY_DISTANCE,,,
124,1,ALL,68FLAT,ANY_DISTANCE,,,
124,2,ALL,75FLAT,ANY_DISTANCE,,,
124,3,ALL,89FLAT,ANY_DISTANCE,,,
124,4,ALL,commercial heavy railcar,ANY_DISTANCE,,,
124,5,ALL,commercial medium railcar,ANY_DISTANCE,,,
125,0,ALL,Water (ANY ASSET),ANY_DISTANCE,,,
126,0,ALL,Air (ANY ASSET),ANY_DISTANCE,,,
127,0,ALL,M1074 PLS,ANY_DISTANCE,,,
127,1,ALL,M1075 PLS,ANY_DISTANCE,,,
127,2,ALL,M1083 WOWN 5-Ton MTV,ANY_DISTANCE,,,
127,3,ALL,M1083 WWN 5-TON MTV,ANY_DISTANCE,,,
127,4,ALL,M1088 WOWN MTV Tractor/M871A2 22.5-Ton Semitrailer,ANY_DISTANCE,,,
127,5,ALL,M1088 WWN MTV Tractor/M871A2 22.5-Ton Semitrailer,ANY_DISTANCE,,,
127,6,ALL,M818 5-Ton Tractor/M128 12-Ton Semitrailer,ANY_DISTANCE,,,
127,7,ALL,M818 5-Ton Tractor/M871A2 22.5-Ton Semitrailer,ANY_DISTANCE,,,
127,8,ALL,M915A2 25-Ton Tractor/M872A3 34-Ton Semitrailer,ANY_DISTANCE,,,
127,9,ALL,M915A2 25-Ton Tractor/M871A2 22.5-Ton Semitrailer,ANY_DISTANCE,,,
127,10,ALL,Commercial 10-Ton Tractor/Commercial Semitrailer,ANY_DISTANCE,,,
128,0,ALL,50BOX,ANY_DISTANCE,,,
128,1,ALL,60BOX,ANY_DISTANCE,,,
128,2,ALL,commercial boxcar,ANY_DISTANCE,,,
129,0,ALL,Water (ANY ASSET),ANY_DISTANCE,,,
130,0,ALL,Air (ANY ASSET),ANY_DISTANCE,,,
131,0,ALL,M1074 PLS,ANY_DISTANCE,,,
131,1,ALL,M1075 PLS,ANY_DISTANCE,,,
131,2,ALL,M1088 WOWN MTV Tractor/M871A2 22.5-Ton Semitrailer,ANY_DISTANCE,,,
131,3,ALL,M1088 WWN MTV Tractor/M871A2 22.5-Ton Semitrailer,ANY_DISTANCE,,,
131,4,ALL,M818 5-Ton Tractor/M128 12-Ton Semitrailer,ANY_DISTANCE,,,
131,5,ALL,M818 5-Ton Tractor/M871A2 22.5-Ton Semitrailer,ANY_DISTANCE,,,
131,6,ALL,M915A2 25-Ton Tractor/M872A3 34-Ton Semitrailer,ANY_DISTANCE,,,
131,7,ALL,M915A2 25-Ton Tractor/M871A2 22.5-Ton Semitrailer,ANY_DISTANCE,,,
131,8,ALL,Commercial 10-Ton Tractor/Commercial Semitrailer,ANY_DISTANCE,,,
132,0,ALL,50BOX,ANY_DISTANCE,,,
132,1,ALL,60BOX,ANY_DISTANCE,,,
132,2,ALL,commercial boxcar,ANY_DISTANCE,,,
133,0,ALL,Water (ANY ASSET),ANY_DISTANCE,,,
134,0,ALL,Air (ANY ASSET),ANY_DISTANCE,,,
135,0,ALL,Pipeline (SELF),ANY_DISTANCE,,,
136,0,ALL,M1088 WOWN MTV Tractor/M967A1 5000-Gal Tanker,ANY_DISTANCE,,,
136,1,ALL,M1088 WWN MTV Tractor/M967A1 5000-Gal Tanker,ANY_DISTANCE,,,
136,2,ALL,M818 5-Ton Tractor/M969 5000-Gal Tanker,ANY_DISTANCE,,,
136,3,ALL,M818 5-Ton Tractor/M967A1 5000-Gal Tanker,ANY_DISTANCE,,,
136,4,ALL,M915A2 25-Ton Tractor/M1062 7500-Gal Tanker,ANY_DISTANCE,,,
136,5,ALL,M916 20-Ton Tractor/M969 5000-Gal Tanker,ANY_DISTANCE,,,
136,6,ALL,M916 20-Ton Tractor/M967A1 5000-Gal Tanker,ANY_DISTANCE,,,
137,0,ALL,commercial POL railcar,ANY_DISTANCE,,,
137,1,ALL,6000 Gal POL Rail Car,ANY_DISTANCE,,,
138,0,ALL,Water (ANY ASSET),ANY_DISTANCE,,,
139,0,ALL,Air (ANY ASSET),ANY_DISTANCE,,,
140,0,ALL,M1074 PLS,ANY_DISTANCE,,,
140,1,ALL,M1075 PLS,ANY_DISTANCE,,,
140,2,ALL,M1083 WOWN 5-Ton MTV,ANY_DISTANCE,,,
140,3,ALL,M1083 WWN 5-TON MTV,ANY_DISTANCE,,,
140,4,ALL,M1088 WOWN MTV Tractor/M871A2 22.5-Ton Semitrailer,ANY_DISTANCE,,,
140,5,ALL,M1088 WWN MTV Tractor/M871A2 22.5-Ton Semitrailer,ANY_DISTANCE,,,
140,6,ALL,M818 5-Ton Tractor/M128 12-Ton Semitrailer,ANY_DISTANCE,,,
140,7,ALL,M818 5-Ton Tractor/M871A2 22.5-Ton Semitrailer,ANY_DISTANCE,,,
140,8,ALL,M915A2 25-Ton Tractor/M872A3 34-Ton Semitrailer,ANY_DISTANCE,,,
140,9,ALL,M915A2 25-Ton Tractor/M871A2 22.5-Ton Semitrailer,ANY_DISTANCE,,,
140,10,ALL,Commercial 10-Ton Tractor/Commercial Semitrailer,ANY_DISTANCE,,,
141,0,ALL,50FLAT,ANY_DISTANCE,,,
141,1,ALL,68FLAT,ANY_DISTANCE,,,
141,2,ALL,75FLAT,ANY_DISTANCE,,,
141,3,ALL,89FLAT,ANY_DISTANCE,,,
141,4,ALL,commercial medium railcar,ANY_DISTANCE,,,
142,0,ALL,Water (ANY ASSET),ANY_DISTANCE,,,
143,0,ALL,Air (ANY ASSET),ANY_DISTANCE,,,
144,0,ALL,M1074 PLS,ANY_DISTANCE,,,
144,1,ALL,M1075 PLS,ANY_DISTANCE,,,
144,2,ALL,M1083 WOWN 5-Ton MTV,ANY_DISTANCE,,,
144,3,ALL,M1083 WWN 5-TON MTV,ANY_DISTANCE,,,
144,4,ALL,M35 2.5-Ton,ANY_DISTANCE,,,
144,5,ALL,M36 2.5-Ton,ANY_DISTANCE,,,
144,6,ALL,M813 5-Ton,ANY_DISTANCE,,,
144,7,ALL,M814 5-Ton,ANY_DISTANCE,,,
144,8,ALL,M923 5-Ton,ANY_DISTANCE,,,
144,9,ALL,M924 5-Ton,ANY_DISTANCE,,,
144,10,ALL,M925 5-Ton,ANY_DISTANCE,,,
144,11,ALL,M926 5-Ton,ANY_DISTANCE,,,
144,12,ALL,M928 5-Ton,ANY_DISTANCE,,,
144,13,ALL,M1088 WOWN MTV Tractor/M871A2 22.5-Ton Semitrailer,ANY_DISTANCE,,,
144,14,ALL,M915A2 25-Ton Tractor/M872A3 34-Ton Semitrailer,ANY_DISTANCE,,,
144,15,ALL,Commercial 10-Ton Tractor/Commercial Semitrailer,ANY_DISTANCE,,,
145,0,ALL,50BOX,ANY_DISTANCE,,,
145,1,ALL,50FLAT,ANY_DISTANCE,,,
145,2,ALL,commercial medium railcar,ANY_DISTANCE,,,
145,3,ALL,commercial boxcar,ANY_DISTANCE,,,
146,0,ALL,Water (ANY ASSET),ANY_DISTANCE,,,
147,0,ALL,Air (ANY ASSET),ANY_DISTANCE,,,
