Port,Day,Enabled,Description,EventPhase,RRF,FLOW,PREPO,AMMO,MPS,MSC,ORG SURGE,EUSC,VISA,FF-LINER,PORT AUG
SYZZ,0,true,,,true,true,true,true,true,true,true,true,true,true,true
00A1,0,true,,,true,true,true,true,true,true,true,true,true,true,true
GWZP,0,true,,,true,true,false,true,true,true,true,true,true,true,true
AVYX,0,true,,,false,true,false,false,true,true,false,true,false,true,true
TAXW,0,true,,,false,false,false,false,false,false,false,false,false,false,false
UULX,0,true,,,true,true,true,true,true,true,true,true,true,true,true
TRZP,0,true,,,true,true,true,true,true,true,true,true,true,true,true
CKMQ,0,true,,,false,false,false,false,false,false,false,false,false,false,false
KZTZ,0,true,,,true,true,true,true,true,true,true,true,true,true,true
BBNV,0,true,,,true,true,true,true,true,true,true,true,true,true,true
BBNV,22,true,,,true,true,true,true,true,true,true,true,true,true,true
ZSJC,0,true,,,true,true,false,true,true,true,true,true,true,true,true
RQNK,0,true,,,true,true,true,true,true,true,true,true,true,true,true
BBNQ,0,true,,,true,true,true,true,true,true,true,true,true,true,true
WPKZ,0,true,,,false,false,false,false,false,false,false,false,false,false,false
EKWU,0,true,,,false,false,false,false,false,false,false,false,false,false,false
HNTS,0,true,,,true,true,true,true,true,true,true,true,true,true,true
HMBA,0,true,,,false,false,false,false,false,false,false,false,false,false,false
LLTY,0,true,,,false,false,false,false,false,false,false,false,false,false,false
QTUR,0,true,,,false,false,false,false,false,false,false,false,false,false,false
AJBR,0,true,,,false,false,false,false,false,false,false,false,false,false,false
SVCN,0,true,,,true,true,false,true,true,true,true,true,true,true,true
SYZB,0,true,,,false,false,false,false,false,false,false,false,false,false,false
LYNK,0,true,,,false,false,false,false,false,false,false,false,false,false,false
SERJ,0,true,,,false,false,false,false,false,false,false,false,false,false,false
SYZJ,0,true,,,false,false,false,false,false,false,false,false,false,false,false
UULB,0,true,,,true,true,false,false,true,true,true,true,true,true,true
UULA,0,true,,,true,true,false,true,true,true,true,true,true,true,true
SERU,0,true,,,true,false,true,true,true,true,true,true,true,true,true
SERU,40,true,,,true,true,true,true,true,true,true,true,true,true,true
SERS,0,true,,,false,false,false,false,false,false,false,false,false,false,false
AAPV,0,true,,,true,true,false,false,true,true,true,true,true,true,true
TZYR,0,true,,,true,true,false,true,true,true,true,true,true,true,true
PDZE,0,true,,,false,false,false,false,false,false,false,false,false,false,false
SYZP,0,true,,,false,false,false,false,false,false,false,false,false,false,false
GCRR,0,true,,,false,false,false,false,false,false,false,false,false,false,false
SYZN,0,true,,,false,false,false,false,false,false,false,false,false,false,false
TWEH,0,true,,,false,false,false,false,false,false,false,false,false,false,false
UTLS,0,true,,,false,false,false,false,false,false,false,false,false,false,false
WYPX,0,true,,,false,false,false,false,false,false,false,false,false,false,false
YLQH,0,true,,,false,false,false,false,false,false,false,false,false,false,false
MLDL,0,true,,,true,true,false,true,true,true,true,true,true,true,true
VPRF,0,true,,,true,true,true,false,true,true,true,true,true,true,true
UTLN,0,true,,,false,false,false,false,false,false,false,false,false,false,false
TZL4,0,true,,,true,true,false,true,true,true,true,true,false,true,false
PQEM,0,true,,,false,false,false,false,false,false,false,false,false,false,false
FMKT,0,true,,,false,false,false,false,false,false,false,false,false,false,false
NJNF,0,true,,,false,false,false,false,false,false,false,false,false,false,false
BSRL,0,true,,,true,true,true,true,true,true,true,true,true,true,true
AKUU,0,true,,,false,false,false,false,false,false,false,false,false,false,false
FVMT,0,true,,,true,true,true,true,true,true,true,true,true,true,true
EDME,0,true,,,false,false,false,false,true,false,false,false,false,true,false
XYNK,0,true,,,true,true,false,false,true,true,true,true,true,true,true
NJNK,0,true,,,false,false,false,false,false,false,false,false,false,false,false
JWTD,0,true,,,true,true,true,false,true,true,true,true,true,true,true
RRRK,0,true,,,true,true,true,true,true,true,true,true,true,true,true
LYAP,0,true,,,true,true,false,false,true,true,true,true,true,true,true
MKAG,0,true,,,true,true,true,false,true,true,true,true,true,true,true
FNLD,0,true,,,true,true,true,true,true,true,true,true,true,true,true
UEND,0,true,,,false,false,false,false,false,false,false,false,false,false,false
CAMK,0,true,,,false,false,false,false,false,false,false,false,false,false,false
XUDT,0,true,,,true,false,true,true,true,true,true,true,true,true,true
XUDT,40,true,,,true,true,true,true,true,true,true,true,true,true,true
RGJW,0,true,,,true,true,false,false,true,true,true,true,true,true,true
SBNB,0,true,,,false,false,false,false,false,false,false,false,false,false,false
WMY2,0,true,,,false,false,false,false,false,false,false,false,false,false,false
HQLL,0,true,,,false,false,false,false,false,false,false,false,false,false,false
QCFA,0,true,,,false,false,false,false,false,false,false,false,false,false,false
QHPF,0,true,,,true,true,false,true,true,true,true,true,true,true,true
QHPB,0,true,,,true,true,false,true,true,true,true,true,true,true,true
QHPD,0,true,,,true,true,false,true,true,true,true,true,true,true,true
PPSH,0,true,,,true,true,true,true,true,true,true,true,true,true,true
AZTG,0,true,,,true,true,true,true,true,true,true,true,true,true,true
AZTE,0,true,,,false,false,false,false,false,false,false,false,false,false,false
PPSC,0,true,,,false,false,false,false,false,false,false,false,false,false,false
QCFF,0,true,,,true,true,true,true,true,true,true,true,true,true,true
STRM,0,true,,,true,true,true,true,true,true,true,true,true,true,true
CWGV,0,true,,,true,true,false,true,true,true,true,true,true,true,true
RRQL,0,true,,,true,true,true,true,true,true,true,true,true,true,true
USZV,0,true,,,false,false,false,false,false,false,false,false,false,false,false
UZXJ,0,true,,,true,true,true,true,true,true,true,true,true,true,true
HMGB,0,true,,,true,true,false,true,true,true,true,true,true,true,true
PAXM,0,true,,,true,true,false,true,true,true,true,true,true,true,true
XEXW,0,true,,,true,true,false,false,true,true,true,true,true,true,true
NSQN,0,true,,,false,false,false,false,false,false,false,false,false,false,false
FXSK,0,true,,,false,false,false,false,false,false,false,false,false,false,false
LSGM,0,true,,,true,true,true,true,true,true,true,true,true,true,true
WHAH,0,true,,,false,false,false,false,false,false,false,false,false,false,false
RGNP,0,true,,,false,false,false,false,false,false,false,false,false,false,false
NSAN,0,true,,,true,true,true,true,true,true,true,true,true,true,true
TNVX,0,true,,,true,true,true,true,true,true,true,true,true,true,true
MMGH,0,true,,,true,true,true,true,true,true,true,true,true,true,true
TGWS,0,true,,,true,true,false,true,true,true,true,true,true,true,true
GUYU,0,true,,,false,false,false,false,false,false,false,false,false,false,false
UNAP,0,true,,,true,true,false,true,true,true,true,true,true,true,true
FMLT,0,true,,,false,false,false,false,false,false,false,false,false,false,false
LYRV,0,true,,,false,false,false,false,true,false,false,false,false,true,false
AELU,0,true,,,true,true,false,true,true,true,true,true,true,true,true
NNWH,0,true,,,true,true,false,true,true,true,true,true,true,true,true
ABFL,0,true,,,true,true,false,true,true,true,true,true,true,true,true
APRJ,0,true,,,false,false,false,false,false,false,false,false,false,false,false
DDQW,0,true,,,false,false,false,false,false,false,false,false,false,false,false
GGNJ,0,true,,,false,false,false,false,false,false,false,false,false,false,false
TQKG,0,true,,,true,true,true,true,true,true,true,true,true,true,true
DGGD,0,true,,,false,false,false,false,false,false,false,false,false,false,false
QNPW,0,true,,,true,true,true,true,true,true,true,true,true,true,true
CMXJ,0,true,,,false,false,false,false,false,false,false,false,false,false,false
AJGX,0,true,,,true,true,false,false,true,true,true,true,true,true,true
RELG,0,true,,,true,true,true,false,true,true,true,true,true,true,true
ABXK,0,true,,,false,false,false,false,false,false,false,false,false,false,false
XJCS,0,true,,,false,false,false,false,false,false,false,false,false,false,false
TVXA,0,true,,,true,true,false,true,true,true,true,true,true,true,true
EWFK,0,true,,,false,false,false,false,false,false,false,false,false,false,false
VWCR,0,true,,,false,false,false,false,false,false,false,false,false,false,false
JMCZ,0,true,,,false,false,false,false,false,false,false,false,false,false,false
HJTL,0,true,,,false,false,false,false,false,false,false,false,false,false,false
ADKH,0,true,,,true,true,false,true,true,true,true,true,true,true,true
FGDB,0,true,,,true,true,true,true,true,true,true,true,true,true,true
FAFL,0,true,,,false,false,false,false,false,false,false,false,false,false,false
MDXB,0,true,,,false,false,false,false,false,false,false,false,false,false,false
MLWY,0,true,,,true,true,true,true,true,true,true,true,true,true,true
AVPV,0,true,,,false,false,false,false,false,false,false,false,false,false,false
LYTM,0,true,,,true,true,false,true,true,true,true,true,true,true,true
WPAU,0,true,,,true,true,true,true,true,true,true,true,true,true,true
NYNF,0,true,,,false,false,false,false,false,false,false,false,false,false,false
00XT,0,true,,,true,true,true,true,true,true,true,true,true,true,true
MAAU,0,true,,,false,false,false,false,false,false,false,false,false,false,false
AVPN,0,true,,,false,false,false,false,false,false,false,false,false,false,false
VXTY,0,true,,,false,false,false,false,false,false,false,false,false,false,false
WTJG,0,true,,,true,true,false,true,true,true,true,true,true,true,true
NTUF,0,true,,,false,false,false,false,false,false,false,false,false,false,false
SMXS,0,true,,,true,true,true,false,true,true,true,true,true,true,true
ENCN,0,true,,,true,true,true,true,true,true,true,true,true,true,true
ADLS,0,true,,,true,true,true,true,true,true,true,true,true,true,true
GLZN,0,true,,,false,false,false,false,false,false,false,false,false,false,false
EXGM,0,true,,,false,false,false,false,false,false,false,false,false,false,false
AYER,0,true,,,false,false,false,false,false,false,false,false,false,false,false
NTUH,0,true,,,false,false,false,false,false,false,false,false,false,false,false
XRSP,0,true,,,false,false,false,false,false,false,false,false,false,false,false
PYKG,0,true,,,false,false,false,false,false,false,false,false,false,false,false
DPMD,0,true,,,false,false,false,false,false,false,false,false,false,false,false
SBDZ,0,true,,,false,false,false,false,false,false,false,false,false,false,false
ADNE,0,true,,,false,false,false,false,false,false,false,false,false,false,false
RBXH,0,true,,,true,true,true,true,true,true,true,true,true,true,true
XRVJ,0,true,,,false,true,false,false,true,true,false,true,false,true,true
UTBR,0,true,,,false,false,false,false,false,false,false,false,false,false,false
TQPB,0,true,,,false,false,false,false,false,false,false,false,false,false,false
ZSAK,0,true,,,false,false,false,false,false,false,false,false,false,false,false
SBEA,0,true,,,true,true,true,true,true,true,true,true,true,true,true
TNZV,0,true,,,false,false,false,false,false,false,false,false,false,false,false
JXKM,0,true,,,true,true,false,true,true,true,true,true,true,true,true
PUCT,0,true,,,false,false,false,false,false,false,false,false,false,false,false
MCYS,0,true,,,false,false,false,false,false,false,false,false,false,false,false
PYKS,0,true,,,false,false,false,false,false,false,false,false,false,false,false
RJHC,0,true,,,false,false,false,false,false,false,false,false,false,false,false
FQZF,0,true,,,true,true,true,true,true,true,true,true,true,true,true
UTBS,0,true,,,false,false,false,false,false,false,false,false,false,false,false
STYW,0,true,,,false,false,false,false,false,false,false,false,false,false,false
RQFF,0,true,,,false,false,false,false,false,false,false,false,false,false,false
TVJD,0,true,,,true,true,true,true,true,true,true,true,true,true,true
VSNF,0,true,,,false,false,false,false,true,false,false,false,false,true,false
SBEQ,0,true,,,true,true,true,true,true,true,true,true,true,true,true
TNZY,0,true,,,true,true,true,true,true,true,true,true,true,true,true
VKNP,0,true,,,true,true,true,true,true,true,true,true,true,true,true
FERR,0,true,,,false,false,false,false,false,false,false,false,false,false,false
NLFL,0,true,,,true,true,true,true,true,true,true,true,true,true,true
FGDD,0,true,,,true,true,false,true,true,true,true,true,true,true,true
FUPD,0,true,,,false,false,false,false,false,false,false,false,false,false,false
FGTW,0,true,,,true,true,true,true,true,true,true,true,true,true,true
UTAC,0,true,,,true,false,true,true,true,true,true,true,true,true,true
UTAC,40,true,,,true,true,true,true,true,true,true,true,true,true,true
RCYT,0,true,,,true,true,false,true,true,true,true,true,true,true,true
RULV,0,true,,,true,true,true,true,true,true,true,true,true,true,true
RCYQ,0,true,,,true,true,false,true,true,true,true,true,true,true,true
00IO,0,true,,,true,true,true,true,true,true,true,true,true,true,true
APFD,0,true,,,true,true,false,false,false,false,true,false,false,false,false
BBGP,0,true,,,false,false,false,false,false,false,false,false,false,false,false
XVMN,0,true,,,true,true,false,false,true,true,true,true,true,true,true
DKSD,0,true,,,true,true,true,true,true,true,true,true,true,true,true
FNSH,0,true,,,true,true,false,true,true,true,true,true,true,true,true
WUND,0,true,,,false,false,false,false,false,false,false,false,false,false,false
EZMU,0,true,,,true,true,false,true,true,true,true,true,true,true,true
ADNK,0,true,,,false,false,false,false,false,false,false,false,false,false,false
VFVN,0,true,,,true,true,true,true,true,true,true,true,true,true,true
APGW,0,true,,,true,true,false,true,true,true,true,true,true,true,true
AHXM,0,true,,,false,false,false,false,false,false,false,false,false,false,false
TTWZ,0,true,,,false,false,false,false,false,false,false,false,false,false,false
JSSN,0,true,,,true,true,false,true,true,true,true,true,true,true,true
AYYY,0,true,,,false,false,false,false,false,false,false,false,false,false,false
BQWA,0,true,,,true,true,false,true,true,true,true,true,true,true,true
YLHU,0,true,,,false,false,false,false,false,false,false,false,false,false,false
EMVX,0,true,,,false,false,false,false,false,false,false,false,false,false,false
EMVY,0,true,,,false,false,false,false,false,false,false,false,false,false,false
TDXQ,0,true,,,false,false,false,false,false,false,false,false,false,false,false
JTUX,0,true,,,false,false,false,false,false,false,false,false,false,false,false
AVBU,0,true,,,true,true,true,true,true,true,true,true,true,true,true
AEQT,0,true,,,false,true,false,false,true,true,false,true,false,true,true
ZLVW,0,true,,,true,true,false,true,true,true,true,true,true,true,true
TPPR,0,true,,,true,true,false,true,true,true,true,true,true,true,true
JJRP,0,true,,,true,true,false,true,true,true,true,true,true,true,true
DKVL,0,true,,,false,false,false,false,false,false,false,false,false,false,false
JTVH,0,true,,,true,true,true,true,true,true,true,true,true,true,true
REPV,0,true,,,true,true,true,false,true,true,true,true,true,true,true
LWEV,0,true,,,true,true,false,true,true,true,true,true,true,true,true
AHWQ,0,true,,,false,false,false,false,false,false,false,false,false,false,false
FMAZ,0,true,,,true,true,false,true,true,true,true,true,true,true,true
RQFK,0,true,,,false,false,false,false,false,false,false,false,false,false,false
DKTT,0,true,,,false,false,false,false,false,false,false,false,false,false,false
YKVG,0,true,,,false,false,false,false,false,false,false,false,false,false,false
RRHU,0,true,,,true,true,true,true,true,true,true,true,true,true,true
XSHO,0,true,,,false,false,false,false,false,false,false,false,false,false,false
NBDY,0,true,,,true,true,false,false,true,true,true,true,true,true,true
TKDW,0,true,,,true,true,true,true,true,true,true,true,true,true,true
RRHQ,0,true,,,false,false,false,false,false,false,false,false,false,false,false
WMPT,0,true,,,false,false,true,false,true,true,false,true,true,true,false
GPEN,0,true,,,true,true,false,true,true,true,true,true,true,true,true
VFVD,0,true,,,false,false,false,false,false,false,false,false,false,false,false
YRTK,0,true,,,true,true,true,true,true,true,true,true,true,true,true
AVTB,0,true,,,false,false,false,false,false,false,false,false,false,false,false
LCMT,0,true,,,true,true,true,true,true,true,true,true,true,true,true
JWJY,0,true,,,true,true,false,false,true,true,true,true,true,true,true
WPVT,0,true,,,true,false,true,true,true,true,true,true,true,true,true
WPVT,40,true,,,true,true,true,true,true,true,true,true,true,true,true
RUAD,0,true,,,false,false,false,false,false,false,false,false,false,false,false
DRUG,0,true,,,true,true,true,true,true,true,true,true,true,true,true
ALRF,0,true,,,true,true,false,true,true,true,true,true,true,true,true
SHDV,0,true,,,false,false,false,false,false,false,false,false,false,false,false
ZABF,0,true,,,false,false,false,false,false,false,false,false,false,false,false
AMCQ,0,true,,,true,true,false,true,true,true,true,true,true,true,true
KZPH,0,true,,,true,true,false,false,true,true,true,true,true,true,true
CHCY,0,true,,,true,true,false,true,true,true,true,true,true,true,true
TKXB,0,true,,,false,false,false,false,false,false,false,false,false,false,false
RUAM,0,true,,,true,true,true,true,true,true,true,true,true,true,true
UJBZ,0,true,,,false,false,false,false,false,false,false,false,false,false,false
MZJK,0,true,,,true,true,false,true,true,true,true,true,true,true,true
ZQAJ,0,true,,,false,false,false,false,false,false,false,false,false,false,false
DKGL,0,true,,,false,false,false,false,false,false,false,false,false,false,false
VFXM,0,true,,,false,false,false,false,false,false,false,false,false,false,false
RUAQ,0,true,,,true,true,true,true,true,true,true,true,true,true,true
LKPE,0,true,,,false,false,true,false,true,true,false,true,true,true,false
LRNC,0,true,,,true,true,false,true,true,true,true,true,true,true,true
GVDN,0,true,,,false,false,false,false,false,false,false,false,false,false,false
ZMJJ,0,true,,,true,true,false,true,true,true,true,true,true,true,true
NBHO,0,true,,,false,false,false,false,false,false,false,false,false,false,false
TUJL,0,true,,,false,false,false,false,false,false,false,false,false,false,false
WQZM,0,true,,,true,true,false,true,true,true,true,true,true,true,true
AQLW,0,true,,,false,false,false,false,false,false,false,false,false,false,false
UMXA,0,true,,,true,true,true,true,true,true,true,true,true,true,true
TQRU,0,true,,,false,false,false,false,false,false,false,false,false,false,false
JYPN,0,true,,,true,true,false,true,true,true,true,true,true,true,true
RPWO,0,true,,,false,false,false,false,false,false,false,false,false,false,false
MFRN,0,true,,,false,false,false,false,false,false,false,false,false,false,false
MBJJ,0,true,,,false,false,false,false,false,false,false,false,false,false,false
ZQAH,0,true,,,false,false,false,false,false,false,false,false,false,false,false
HAGC,0,true,,,true,true,true,true,true,true,true,true,true,true,true
SFPM,0,true,,,false,false,false,false,false,false,false,false,false,false,false
UTVT,0,true,,,true,true,true,true,true,true,true,true,true,true,true
XDMT,0,true,,,false,false,false,false,false,false,false,false,false,false,false
EGNN,0,true,,,false,false,true,false,true,true,false,true,true,true,false
RZMJ,0,true,,,false,false,false,false,false,false,false,false,false,false,false
CHEX,0,true,,,false,false,false,false,false,false,false,false,false,false,false
CHEV,0,true,,,false,false,false,false,false,false,false,false,false,false,false
PVKT,0,true,,,false,false,false,false,false,false,false,false,false,false,false
PKVP,0,true,,,true,true,true,true,true,true,true,true,true,true,true
PCFG,0,true,,,true,true,false,true,true,true,true,true,true,true,true
PCFC,0,true,,,false,false,false,false,true,false,false,false,false,true,false
QMFZ,0,true,,,false,false,false,false,false,false,false,false,false,false,false
YLMY,0,true,,,false,false,false,false,false,false,false,false,false,false,false
NDNK,0,true,,,false,false,false,false,false,false,false,false,false,false,false
QTUP,0,true,,,true,true,true,true,true,true,true,true,true,true,true
NPVL,0,true,,,false,false,false,false,false,false,false,false,false,false,false
VSTN,0,true,,,false,false,false,false,false,false,false,false,false,false,false
ZNMC,0,true,,,true,true,true,false,true,true,true,true,true,true,true
NPTW,0,true,,,false,false,false,false,false,false,false,false,false,false,false
UYQR,0,true,,,true,true,true,false,true,true,true,true,true,true,true
TPRZ,0,true,,,false,false,false,false,false,false,false,false,false,false,false
NPTR,0,true,,,false,false,false,false,false,false,false,false,false,false,false
TPRW,0,true,,,true,true,false,true,true,true,true,true,true,true,true
LUTP,0,true,,,true,true,false,true,true,true,true,true,true,true,true
NPTU,0,true,,,true,false,true,true,true,true,true,true,true,true,true
NPTU,40,true,,,true,true,true,true,true,true,true,true,true,true,true
VFHY,0,true,,,false,false,false,false,false,false,false,false,false,false,false
VFHZ,0,true,,,false,false,false,false,false,false,false,false,false,false,false
XVRV,0,true,,,false,false,false,false,true,false,false,false,false,true,false
HUPR,0,true,,,true,true,false,false,true,true,true,true,true,true,true
BYKC,0,true,,,false,false,false,false,false,false,false,false,false,false,false
PTFY,0,true,,,false,false,false,false,false,false,false,false,false,false,false
TPSL,0,true,,,false,false,false,false,false,false,false,false,false,false,false
JKWG,0,true,,,false,false,false,false,false,false,false,false,false,false,false
TQUK,0,true,,,false,false,false,false,false,false,false,false,false,false,false
TQUH,0,true,,,false,false,false,false,false,false,false,false,false,false,false
JKWP,0,true,,,false,false,false,false,false,false,false,false,false,false,false
GFVP,0,true,,,false,false,false,false,false,false,false,false,false,false,false
WYKZ,0,true,,,true,true,true,false,true,true,true,true,true,true,true
CWCP,0,true,,,false,true,false,false,true,true,false,true,false,true,true
ZBES,0,true,,,true,true,true,true,true,true,true,true,true,true,true
